STT,Name,Price,Image
1,"Viên uống Immuvita Easylife bổ sung vitamin và khoáng chất cho cơ thể, tăng sức khỏe (100 viên)",390.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_05505_4c243a16f9.jpg
2,Siro ống uống Canxi-D3-K2 5ml Kingphar bổ sung canxi & vitamin D3 cho cơ thể (6 vỉ x 5 ống),105.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_04874_6c29236c37.jpg
3,Siro Brauer Baby Kids D3+k2 High Potency MK-7 Drops bổ sung vitamin D3 và vitamin K2 (10ml),396.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_04996_7d25dc3860.jpg
4,Viên uống Omexxel 3-6-9 Premium hỗ trợ tốt cho não và mắt (100 viên),362.400đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09384_b9a30a1717.jpg
5,"Viên nang mềm NatureCare Omega 369 bổ sung Omega, giảm nguy cơ xơ vữa động mạch (6 vỉ x 20 viên)",513.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09006_a1b4671cf5.jpg
6,Viên uống Brauer Ultra Pure DHA For Pregnancy & Breastfeeding hỗ trợ tăng cường sức khoẻ phụ nữ mang thai và cho con bú (60 viên),550.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09544_d2a3970fcb.jpg
7,Viên sủi Kudos Kids Multivitamins Plus Calcium & D3 hương dưa hấu giúp bổ sung calci và vitamin cho cơ thể (20 viên),127.200đ / Tuýp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09365_33ea32b9d1.jpg
8,Viên sủi Kudos Daily Vitamins Plus Biotin & Ginseng hương cam giúp bổ sung vitamin cho cơ thể (20 viên),111.200đ / Tuýp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09335_24b9811179.jpg
9,Viên sủi Kudos Vitamin C 1000mg hương chanh giúp bổ sung vitamin C cho cơ thể (20 viên),100.800đ / Tuýp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09324_db795e136a.jpg
10,"Viên sủi Kudos Bone hương cam bổ sung canxi, vitamin K2, vitamin D3 cho cơ thể (20 viên)",100.800đ / Tuýp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09344_b38a024079.jpg
11,Dung dịch Feginic bổ sung sắt cho người thiếu máu do thiếu sắt (4 vỉ x 5 ống x 5ml),108.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00501604_ong_uong_bo_sung_sat_feginic_4x5_ong_5ml_7086_62f9_large_b9aea30e80.jpg
12,"Viên uống Multivitamin +Zn +D3 Royal Care hỗ trợ tăng cường sức khỏe, nâng cao sức đề kháng (60 viên)",175.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08020_1cb976cef9.png
13,Viên uống Dr. Caci Ocavill giúp xương và răng chắc khỏe (60 viên),570.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08680_827789c4f8.jpg
14,"Viên uống B Complex Vitamin Royal Care hỗ trợ giảm mệt mỏi, căng thẳng (60 viên)",160.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00032942_b_complex_vitamin_royal_care_60v_5253_61c0_large_17e5e39343.jpg
15,Viên nén Multi Vitas Lab Well bổ sung vitamin và khoáng chất cho cơ thể (60 viên),340.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08333_0d6a18e346.jpg
16,Viên uống Teens Active Vitamins For Life bổ sung vitamin và khoáng chất cho thanh thiếu niên (60 viên),350.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00345388_teens_active_bo_sung_vitamin_cho_thieu_nien_5186_63a9_large_c8259bcfea.jpg
17,Viên uống Omega 3-6-9 Pharmekal hỗ trợ giảm nguy cơ xơ vữa động mạch (100 viên),319.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00005529_dau_ca_omega_369_my_5744_63d7_large_2e69b98de7.jpg
18,Thực phẩm bảo vệ sức khỏe Natural Vitamin E 400 IU giúp cải thiện sức khỏe da và phục hồi da (60 viên),251.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08384_9ef40feeb4.jpg
19,"Viên uống Mega-Cal 1000 Vitamins For Life giúp bổ sung canxi, chống loãng xương (60 viên)",320.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08888_30b53ffbee.jpg
20,"Viên uống Prenatal One Vitamins For Life cung cấp DHA, Vitamin và khoáng chất thiết yếu (30 viên)",365.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00021616_prenatal_one_30_vien_8270_6327_large_b7aaa7b503.jpg
21,Viên uống Happy Mom Jpanwell bổ sung vitamin và khoáng chất (60 viên),733.500đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00021932_happy_mom_jpanwell_60v_5688_5ff7_large_8cba32414f.JPG
22,Viên uống Anica Ocavill bổ sung Canxi và Vitamin D3 (60 viên),560.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_01865_3fa66c5ff7.jpg
23,"Viên uống Omexxel 3-6-9 tốt cho trí não, giúp bổ mắt (100 viên)",378.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09409_77358c32d7.jpg
24,Siro Morningkids Multivitamin Bổ sung Vitamin và khoáng chất (150ml),275.000đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00029661_morningkids_multivitamin_150ml_8912_6019_large_85f579207c.JPG
25,"Viên uống Omega-3 For Kids Nutrimed giúp trẻ phát triển trí não, thị lực (100 viên)",450.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00029877_omega_3_for_kids_300mg_nutrimed_international_100v_6416_633e_large_20c893600c.jpg
26,"Viên uống C 500mg Nature's Bounty bổ sung vitamin C, tăng cường sức đề kháng (100 viên)",325.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00031901_vien_uong_bo_sung_vitamin_c_natures_bounty_time_released_c_500mg_100v_6031_62ae_large_f8e2ab95d4.jpg
27,Viên uống Calcium Magnesium Zinc Nature's Bounty hỗ trợ duy trì sức khoẻ hệ xương (100 viên),270.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/3010463086026738196_1_0338e2ad27.jpg
28,"Viên uống Calci K2 Dao Nordic Health bổ sung canxi, chống loãng xương (60 viên)",365.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00345335_calci_k2_vien_bo_sung_canxi_ngua_loang_xuong_3579_62ae_large_0abcaf7b56.jpg
29,"Viên uống NutriGrow Nutrimed bổ sung canxi, vitamin D3, vitamin K2, hấp thu canxi (60 viên)",480.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_05520_3e8211d9fa.jpg
30,Siro Fer + Multi Hatro bổ sung sắt và Vitamin nhóm B cho cơ thể (120ml),135.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08324_453bb032ed.jpg
31,"Siro ZinC + Lysin Hatro bổ sung kẽm, hỗ trợ tăng sức đề kháng cho trẻ (120ml)",150.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08313_1efe9a74d1.jpg
32,"Thực phẩm bảo vệ sức khỏe Prenatal One Vitamins For Life cung cấp DHA, vitamin và khoáng chất",660.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_00115_72e83dcffe.jpg
33,Viên uống Calci K-2 Pharma World hỗ trợ giảm nguy cơ loãng xương (60 viên),423.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00503275_vien_uong_bo_sung_canxi_giam_nguy_co_loang_xuong_pharma_word_calci_k_2_60v_2299_63ed_large_322e824179.jpg
34,"Dung dịch Vitamin D3+ DHA Hatro Pharvina tăng sức đề kháng, giảm nguy cơ còi xương (20ml)",320.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/IMG_0270_9483dadf83.jpg
35,Thực phẩm bảo vệ sức khỏe NMN PQQ,6.675.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_03542_6bfa8a6508.jpg
36,Thực phẩm bảo vệ sức khỏe G-TEEN Kenko hỗ trợ phát triển cho bé gái giai đoạn dậy thì (30 gói x 15g),1.550.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_04261_7bed2105fa.jpg
37,Thực phẩm bảo vệ sức khỏe B-TEEN Kenko hỗ trợ phát triển cho bé trai giai đoạn dậy thì (30 gói x 15g),1.550.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_04296_5a6bfce13c.jpg
38,"Thực phẩm bảo vệ sức khỏe Omexxel E400 hỗ trợ chống oxy hóa, tốt cho da (3 vỉ x 10 viên)",264.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08986_a3ca1e01d8.jpg
39,Viên uống proMUM DHA Alg bổ sung DHA cho phụ nữ có thai và cho con bú (3 vỉ x 10 viên),449.100đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09300_68669e0539.png
40,Viên uống proMUM New Live bổ sung các chất dinh dưỡng cho phụ nữ mang thai và cho con bú (2 vỉ x 15 viên),319.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09314_a44e29a8b5.png
41,"Viên uống proMUM Vomarin hỗ trợ giảm buồn nôn cho phụ nữ mang thai, tăng tiết sữa mẹ (2 vỉ x 15 viên)",279.200đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09267_6b2553276f.png
42,Viên uống proMUM New Start bổ sung vitamin và khoáng chất cho phụ nữ có kế hoạch mang thai (2 vỉ x 15 viên),263.200đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09286_e5de816ef0.png
43,"Siro Canxi + D3K2 Hatro bổ sung canxi giúp xương, răng chắc khỏe (120ml)",180.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08302_ba4462d00d.jpg
44,Viên uống Premom Gold Jpanwell hỗ trợ phụ nữ trước giai đoạn mang thai (60 viên),1.300.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00500357_vien_uong_ho_tro_phu_nu_truoc_khi_mang_thai_premom_gold_jpanwell_60v_8227_6298_large_ae1845b873.jpg
45,"Viên uống Vitamin E 400IU Nature's Bounty hỗ trợ chống oxy hóa, làm chậm quá trình lão hóa da (30 viên)",150.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00345398_vitamin_e_400_iu_5953_600f_large_f1fec5d4f6.JPG
46,Siro Special Kid Multivitamines bổ sung Vitamin và khoáng chất giúp tăng cường sức đề kháng (125ml),254.000đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00017886_special_kid_multivitamins_125ml_8621_5fb3_large_78ae9d56db.JPG
47,"Siro Special Kid Appeti+ bổ sung các vitamin và khoáng chất, hỗ trợ tiêu hóa tốt (125ml)",254.000đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00018674_special_kid_appetit_eric_favre_125ml_orange_4746_5c84_large_74bc61ec0f.jpg
48,"Siro Special Kid Zinc Eric Favre Wellness bổ sung kẽm, hỗ trợ tăng sức đề kháng cho trẻ (125ml)",254.000đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00021694_special_kid_zinc_eric_favre_125ml_6593_62af_large_da861d0f7c.jpg
49,"Viên uống Omexxel Calk2 bổ sung Canxi, Vitamin D3 (3 vỉ x 10 viên)",360.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_09350_52ddd56357.png
50,"Thực phẩm bảo vệ sức khỏe Vitamin E Kingphar bổ sung vitamin E, hỗ trợ chống oxy hóa (4 vỉ x 10 viên)",105.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00028658_vitamin_e_kingphar_4x10_4232_5fcf_large_a36202c7e7.JPG
51,"Dung dịch MorningKids Increase Height bổ sung vitamin, tăng chiều cao cho trẻ (150ml)",276.000đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00029660_morningkids_increase_height_150ml_2277_6019_large_9b0ddfcae9.JPG
52,Viên uống Bone Builder Drlife bổ sung canxi và vitamin cho xương (60 viên),327.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_08392_0461703d2a.jpg
53,"Siro Special Kid Calcium Vitamine D bổ sung Calci và Vitamin D giúp xương, răng chắc khỏe (125ml)",254.000đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/00018636_special_kid_calcium_vitamine_d_eric_favre_125ml_strawberry_7590_5c51_large_c023869638.jpg
54,"Dung dịch dạng xịt LineaBon K2+D3 10ml bổ sung Vitamin D3 và Vitamin K2, hỗ trợ hấp thu canxi",330.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_04736_15a585f3cb.jpg
55,Thực phẩm bảo vệ sức khỏe Bioamicus Omega-3 hỗ trợ tốt cho mắt và não (30ml),385.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_02549_f5641ec3b0.jpg
56,"Sắt Ferrolip Uga hỗ trợ tạo hồng cầu, giúp giảm nguy cơ thiếu máu do thiếu sắt (20 gói)",Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_00036_5a330d8081.jpg
57,Siro Wellbaby Multi-Vitamin Liquid Vitabiotics bổ sung vitamin và khoáng chất cho trẻ (150ml),412.000đ / Hộp,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_00535_480fad02f8.jpg
58,Kẹo con vịt Vitamin C 10mg hỗ trợ tăng cường đề kháng cho cơ thể,5.500đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_00120_e6778084f9.jpg
59,"Dung dịch Feroglobin B12 Vitabiotics hỗ trợ tăng khả năng tạo máu, tăng cường sức khỏe (200ml)",358.000đ / Chai,https://cdn.nhathuoclongchau.com.vn/unsafe/2560x0/filters:quality(90)/DSC_00573_5a11c40ed0.jpg
